,address,description
0,"Золотодолинская, 11","Ресторан с названием 'T.B.K. Lounge' по адресу Золотодолинская, 11 с рейтингом 9.0346 и средним чеком 1700–3000 рублей. 'T.B.K. Lounge' специализируется на Европейская кухня. График работы: пн-вс 12.00–0.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/tbk-lounge-25625/"
1,"Вокзальная магистраль, 1, Marins Park Hotel Novosibirsk, 1 этаж","Пивной ресторан с названием 'Beerman & Grill' по адресу Вокзальная магистраль, 1, Marins Park Hotel Novosibirsk, 1 этаж с рейтингом 8.6417 и средним чеком 700–1700 рублей. 'Beerman & Grill' специализируется на Европейская кухня, Паста, Пельмени, Русская кухня, Стейки, Суши, Сэндвичи, Шашлыки, Японская кухня. График работы: пн-вс 12.00–2.30. Сайт: https://www.afisha.ru/novosibirsk/restaurant/beerman-grill-25624/"
2,"Комсомольский просп., 24","Столовая с названием 'Ассоль' по адресу Комсомольский просп., 24 с рейтингом 6.0 и средним чеком До 700 рублей. 'Ассоль' специализируется на Русская кухня. График работы: пн-пт 8.00–18.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/assol-15938/"
3,"Советская, 20","Ресторан с названием 'Рэсторани' по адресу Советская, 20 со средним чеком 700–1700 рублей. 'Рэсторани' специализируется на Грузинская кухня, Хачапури, Хинкали. График работы: пн-вс 12.00–23.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/restorani-487612/"
4,"Народная, 1","Бар с названием 'Рюмки' по адресу Народная, 1 со средним чеком 700–1700 рублей. 'Рюмки' специализируется на Американская кухня, Бургеры, Европейская кухня, Стейки. График работы: пн-чт, вс 12.00–0.00, пт-сб 12.00–2.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/riumki-494486/"
5,"Морской просп., 22","Кофейня с названием 'Coffee Collective Brew Bar' по адресу Морской просп., 22 со средним чеком До 700 рублей. 'Coffee Collective Brew Bar' специализируется на Европейская кухня. График работы: пн-пт 7.30–22.30, сб-вс 8.00–22.30. Сайт: https://www.afisha.ru/novosibirsk/restaurant/coffee-collective-brew-bar-454670/"
6,"Троллейная, 130а, ТРЦ «Континент»","Ресторан с названием 'Kannam Chicken' по адресу Троллейная, 130а, ТРЦ «Континент» со средним чеком До 700 рублей. 'Kannam Chicken' специализируется на Корейская кухня, Суши, Японская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kannam-chicken-487604/"
7,"Фрунзе, 238, ТРЦ «Сибирский молл», 1 этаж","Ресторан с названием 'Kebab Grill' по адресу Фрунзе, 238, ТРЦ «Сибирский молл», 1 этаж со средним чеком До 700 рублей. 'Kebab Grill' специализируется на Турецкая кухня, Узбекская кухня. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kebab-grill-312906/"
8,"Красный просп., 29","Фастфуд с названием 'KFC' по адресу Красный просп., 29 со средним чеком До 700 рублей. 'KFC' специализируется на Американская кухня, Бургеры, Сэндвичи. График работы: круглосуточно. Сайт: https://www.afisha.ru/novosibirsk/restaurant/kfc-35233/"
9,"Урицкого, 36","Ресторан с названием 'Veggy' по адресу Урицкого, 36 со средним чеком 700–1700 рублей. 'Veggy' специализируется на Вегетарианское меню, Здоровое питание. График работы: пн-вс 10.00–22.00. Сайт: https://www.afisha.ru/novosibirsk/restaurant/veggy-496531/"
